game,game_name,entity,entity_type,action_id,mean_prop,sem_prop,n_episodes
2,SpaceInvaders,S3,human,1,0.2060661551468866,0.00951516274830738,32
2,SpaceInvaders,S3,human,2,0.19086195734518627,0.005594845633045484,32
2,SpaceInvaders,S3,human,3,0.14853577996837086,0.00735776507330369,32
2,SpaceInvaders,S3,human,4,0.034575201125140106,0.005191590344495837,32
2,SpaceInvaders,S3,human,5,0.025014908871255546,0.002867038094883797,32
2,SpaceInvaders,S4,human,0,0.38177312530805774,0.008557776716326407,35
2,SpaceInvaders,S4,human,1,0.2360009249698235,0.01027765291935306,35
2,SpaceInvaders,S4,human,2,0.18167468912951848,0.00970664790697321,35
2,SpaceInvaders,S4,human,3,0.11319359675381363,0.006612700205375642,35
2,SpaceInvaders,S4,human,4,0.04847890886885986,0.0030094117735701624,35
2,SpaceInvaders,S4,human,5,0.03887875496992659,0.002793713256398242,35
2,SpaceInvaders,S5,human,0,0.5118683488402476,0.01158593234006601,46
2,SpaceInvaders,S5,human,1,0.08014396317496389,0.002883048018809291,46
2,SpaceInvaders,S5,human,2,0.2300841959872334,0.0077845446988930615,46
2,SpaceInvaders,S5,human,3,0.17240505234714623,0.00721920180489595,46
2,SpaceInvaders,S5,human,4,0.0032573926451078443,0.0005317616004691302,46
2,SpaceInvaders,S5,human,5,0.002241047005300976,0.0003353332980232249,46
2,SpaceInvaders,S6,human,0,0.38844368402439977,0.013502641299633883,64
2,SpaceInvaders,S6,human,1,0.26790953902384546,0.010861261746465168,64
2,SpaceInvaders,S6,human,2,0.1888213435043446,0.006137064919354878,64
2,SpaceInvaders,S6,human,3,0.11950028946164377,0.006030196061047235,64
2,SpaceInvaders,S6,human,4,0.020423168118191254,0.0016342907834764931,64
2,SpaceInvaders,S6,human,5,0.014901975867575065,0.001250921546071685,64
2,SpaceInvaders,Thinker,thinker,0,0.0077971624402033935,0.001361134705985142,3
2,SpaceInvaders,Thinker,thinker,1,0.3072674215310786,0.007098468613779993,3
2,SpaceInvaders,Thinker,thinker,2,0.00079105186817855,0.0002612835959772076,3
2,SpaceInvaders,Thinker,thinker,3,0.006906157424501663,0.0007640672419299945,3
2,SpaceInvaders,Thinker,thinker,4,0.3973279634775113,0.00606012837375784,3
2,SpaceInvaders,Thinker,thinker,5,0.2799102432585265,0.002305078596524222,3
