subject,game,game_name,day,lag1_autocorr,n_steps
sub_3,1,Pong,4,0.8686906509341736,11682
sub_3,1,Pong,4,0.8719423785222651,11664
sub_3,1,Pong,4,0.8883162574949935,11652
sub_3,2,SpaceInvaders,1,0.8648857459336986,5634
sub_3,2,SpaceInvaders,1,0.7699948923175883,4985
sub_3,2,SpaceInvaders,1,0.7612204082593913,4054
sub_3,2,SpaceInvaders,1,0.8454477329798293,4059
sub_3,2,SpaceInvaders,1,0.7754564814229772,1953
sub_3,2,SpaceInvaders,1,0.7874944815679321,7459
sub_3,2,SpaceInvaders,1,0.7773709578036466,4026
sub_3,2,SpaceInvaders,1,0.8088122004749622,5866
sub_3,2,SpaceInvaders,2,0.7559839318297605,3473
sub_3,2,SpaceInvaders,2,0.786141571580563,3671
sub_3,2,SpaceInvaders,2,0.8307511964940977,8007
sub_3,2,SpaceInvaders,2,0.8528974042002821,5021
sub_3,2,SpaceInvaders,2,0.861656914084755,12097
sub_3,2,SpaceInvaders,2,0.8485826936477983,7657
sub_3,2,SpaceInvaders,2,0.8512977365173074,1079
sub_3,2,SpaceInvaders,2,0.9135555560614473,8395
sub_3,2,SpaceInvaders,2,0.8650786789993621,12361
sub_3,2,SpaceInvaders,3,0.8089166932854224,14965
sub_3,2,SpaceInvaders,3,0.8038079848337234,2399
sub_3,2,SpaceInvaders,3,0.8280137982170132,4495
sub_3,2,SpaceInvaders,3,0.8310454733984295,11867
sub_3,2,SpaceInvaders,3,0.8091247341785106,3790
sub_3,2,SpaceInvaders,3,0.8089441693343662,4591
sub_3,2,SpaceInvaders,3,0.8480912262141928,13553
sub_3,2,SpaceInvaders,3,0.7768086776530851,1968
sub_3,2,SpaceInvaders,4,0.8318739674812885,12287
sub_3,2,SpaceInvaders,4,0.8161210156952455,8179
sub_3,2,SpaceInvaders,4,0.8072655174502086,14293
sub_3,2,SpaceInvaders,4,0.7533925679009459,2594
sub_3,2,SpaceInvaders,4,0.8183097650841434,5191
sub_3,2,SpaceInvaders,4,0.8534002932558773,14823
sub_3,2,SpaceInvaders,4,0.6846363590378135,435
sub_4,1,Pong,1,0.8637624549067157,11740
sub_4,1,Pong,1,0.8498926103162107,11659
sub_4,1,Pong,2,0.8854463792610093,11567
sub_4,1,Pong,2,0.8500047824934582,11625
sub_4,1,Pong,2,0.8521997346050307,11574
sub_4,1,Pong,3,0.8254352762431874,11677
sub_4,1,Pong,3,0.8419864500863653,11680
sub_4,1,Pong,3,0.8190026389250085,11640
