event_id,file,subject,game,bout_length,cross2,is_long,bout_class,n_changes,change_rate,n_unique_cur_actions,dominant_action_fraction,final_cur_action,modal_cur_action,mean_imag_nonnoop_fraction,commit_action,commit_search_final_action,commit_search_modal_action,commit_matches_final_cur_action,commit_matches_modal_cur_action,commit_matches_commit_search_final,commit_matches_commit_search_modal
sub001-ses04-block2-game2_000::b0084,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,1,1,0.8192959001782532,1,1,1,1,1,1,1
sub001-ses04-block2-game2_000::b0085,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,5,1,0.8905562224889956,1,5,4,0,1,0,0
sub001-ses04-block2-game2_000::b0086,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,1,0.5,2,0.6666666666666666,0,1,0.8405129782409416,1,3,2,0,1,0,0
sub001-ses04-block2-game2_000::b0087,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,4,0.25,1,0,0.875484297943661,1,3,0,1,0,0,0
sub001-ses04-block2-game2_000::b0088,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,1,0,0.8020000520846896,1,2,1,1,0,0,1
sub001-ses04-block2-game2_000::b0089,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,14,26,0,Short,11,0.8461538461538461,6,0.35714285714285715,3,1,0.8601336918787444,3,3,2,1,0,1,0
sub001-ses04-block2-game2_000::b0090,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,4,1.0,4,0.4,5,3,0.8878269670495396,2,3,4,0,0,0,0
sub001-ses04-block2-game2_000::b0091,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,4,0.8,4,0.3333333333333333,1,1,0.8899849267872524,2,5,0,0,0,0,0
sub001-ses04-block2-game2_000::b0092,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,5,1,0.8507936507936508,2,2,3,0,0,1,0
sub001-ses04-block2-game2_000::b0093,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,1,0.5,2,0.6666666666666666,4,5,0.8396877269426289,1,1,5,0,0,1,0
sub001-ses04-block2-game2_000::b0094,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,28,26,1,Long,21,0.7777777777777778,6,0.25,1,0,0.8511295290430828,1,1,1,1,0,1,1
sub001-ses04-block2-game2_000::b0095,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,3,0.5,2,2,0.8472932415298442,3,0,0,0,0,0,0
sub001-ses04-block2-game2_000::b0096,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,23,26,0,Short,21,0.9545454545454546,6,0.2608695652173913,0,0,0.8493900747303099,2,4,2,0,0,0,1
sub001-ses04-block2-game2_000::b0097,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,15,26,0,Short,13,0.9285714285714286,6,0.2,4,3,0.8516621190138621,1,0,5,0,0,0,0
sub001-ses04-block2-game2_000::b0098,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,3,0.75,3,0.6,3,3,0.8683507414571243,3,2,0,1,1,0,0
sub001-ses04-block2-game2_000::b0099,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,8,1.0,5,0.3333333333333333,3,1,0.8606032401169226,2,4,4,0,0,0,0
sub001-ses04-block2-game2_000::b0100,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,4,0.6666666666666666,4,0.5714285714285714,0,0,0.8178428188556198,1,3,5,0,0,0,0
sub001-ses04-block2-game2_000::b0101,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,2,0.6666666666666666,3,0.5,3,2,0.8828257583226526,1,4,2,0,0,0,0
sub001-ses04-block2-game2_000::b0102,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,16,26,0,Short,10,0.6666666666666666,4,0.5,5,1,0.8376704988386042,3,2,2,0,0,0,0
sub001-ses04-block2-game2_000::b0103,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,14,26,0,Short,11,0.8461538461538461,6,0.35714285714285715,2,1,0.8755510660126722,2,5,2,1,0,0,1
sub001-ses04-block2-game2_000::b0104,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,4,0.8,5,0.3333333333333333,5,1,0.9095989964398846,3,4,4,0,0,0,0
sub001-ses04-block2-game2_000::b0105,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,7,0.875,5,0.4444444444444444,1,1,0.8598927616513462,2,4,2,0,0,0,1
sub001-ses04-block2-game2_000::b0106,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,3,3,0.8320035460992908,1,1,3,0,0,1,0
sub001-ses04-block2-game2_000::b0107,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,1,1,0.7984601449275363,1,3,2,1,1,0,0
sub001-ses04-block2-game2_000::b0108,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,2,2,0.8468085106382979,1,2,5,0,0,0,0
sub001-ses04-block2-game2_000::b0109,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,4,0.25,4,0,0.8465697507032415,1,2,2,0,0,0,0
sub001-ses04-block2-game2_000::b0110,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,0,0,0.7445833333333334,3,4,5,0,0,0,0
sub001-ses04-block2-game2_000::b0111,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,14,26,0,Short,13,1.0,6,0.2857142857142857,2,1,0.8553491406996719,1,5,5,0,1,0,0
sub001-ses04-block2-game2_000::b0112,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,23,26,0,Short,21,0.9545454545454546,6,0.34782608695652173,3,3,0.8642094572270852,1,1,5,0,0,1,0
sub001-ses04-block2-game2_000::b0113,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,2,0.6666666666666666,3,0.5,3,1,0.8859697810669134,1,0,1,0,1,0,1
sub001-ses04-block2-game2_000::b0114,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,3,0.75,3,0.6,1,1,0.8252437332190159,1,3,5,1,1,0,0
sub001-ses04-block2-game2_000::b0115,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,0,0.0,1,1.0,5,5,0.7988021295474712,1,1,1,0,0,1,1
sub001-ses04-block2-game2_000::b0116,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,1,0.5,2,0.6666666666666666,0,3,0.8406795888022421,1,0,0,0,0,0,0
sub001-ses04-block2-game2_000::b0117,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,5,1,0.9110576923076923,1,5,5,0,1,0,0
sub001-ses04-block2-game2_000::b0118,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,0,0,0.857919621749409,1,1,5,0,0,1,0
sub001-ses04-block2-game2_000::b0119,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,15,26,0,Short,12,0.8571428571428571,5,0.3333333333333333,5,5,0.8558049167034893,3,3,3,0,0,1,1
sub001-ses04-block2-game2_000::b0120,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,11,26,0,Short,8,0.8,4,0.36363636363636365,4,3,0.8430916149929047,2,4,4,0,0,0,0
sub001-ses04-block2-game2_000::b0121,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,60,26,1,Long,48,0.8135593220338984,6,0.2833333333333333,5,1,0.8718547260947164,2,5,3,0,0,0,0
sub001-ses04-block2-game2_000::b0122,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,3,0.75,3,0.6,4,4,0.8877696933846002,1,5,5,0,0,0,0
sub001-ses04-block2-game2_000::b0123,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,17,26,0,Short,15,0.9375,6,0.23529411764705882,0,4,0.8657852258674201,2,2,1,0,0,1,0
sub001-ses04-block2-game2_000::b0124,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,21,26,0,Short,14,0.7,6,0.23809523809523808,0,1,0.8375063780009125,3,5,0,0,0,0,0
