event_id,file,subject,game,bout_length,cross2,is_long,bout_class,entropy_actor_pos0,entropy_actor_pos1,entropy_actor_pos2,entropy_actor_pos3,entropy_actor_pos4,margin_actor_pos0,margin_actor_pos1,margin_actor_pos2,margin_actor_pos3,margin_actor_pos4,q_gap_pos0,q_gap_pos1,q_gap_pos2,q_gap_pos3,q_gap_pos4,rollout_spread_pos0,rollout_spread_pos1,rollout_spread_pos2,rollout_spread_pos3,rollout_spread_pos4
sub001-ses04-block2-game2_001::b0043,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,2,26,0,Short,1.0238421031819893,1.0238421031819893,1.0238421031819893,1.0552557186861422,1.0552557186861422,0.4127333542741709,0.4127333542741709,0.4127333542741709,0.4620204123017636,0.4620204123017636,4.430335521697998,4.430335521697998,4.430335521697998,4.201165676116943,4.201165676116943,0.5690822601318359,0.5690822601318359,0.5690822601318359,0.17577791213989258,0.17577791213989258
sub001-ses04-block2-game2_001::b0044,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,19,26,0,Short,0.9310137368446585,1.3186027330858077,1.105244169111793,1.057081581023973,1.1472190406735279,0.42992734330690763,0.23073042100948482,0.3614824894026404,0.36241367281595155,0.4095760223957103,4.450222969055176,3.7039082050323486,3.4426867961883545,3.924377918243408,4.3001227378845215,0.0,0.0,0.0,0.0,0.12413549423217773
sub001-ses04-block2-game2_001::b0045,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,18,26,0,Short,0.7980809607152807,0.984656047192941,0.9727704227487654,0.9553394714516233,0.9407051746328637,0.5361151779770686,0.35846429172987976,0.4560373966027799,0.5460217978732818,0.5151103047795669,0.36681437492370605,0.0,4.119330406188965,0.11410903930664062,0.0,0.3277864456176758,0.0,0.38954734802246094,0.7453622817993164,0.0
sub001-ses04-block2-game2_001::b0046,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,16,26,0,Short,1.0053723486400519,1.184971431785295,0.8922343088451757,0.8288747603125719,0.9544078662536275,0.39134957640727486,0.21477609327776231,0.5418915607066457,0.5335265168963051,0.4750028427961952,0.0,0.0,0.0,0.25528740882873535,0.3373568058013916,0.0,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_001::b0047,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,21,26,0,Short,0.37973396939491366,0.8746691667820077,0.8043715768372741,1.0081637179619036,0.9579389813774949,0.8515156518874955,0.5473025617501746,0.6335636538940697,0.4464609165483706,0.46322088456420496,0.007901191711425781,0.0,0.0,3.5902273654937744,0.0,0.0,0.0,0.0,0.3516659736633301,0.0
sub001-ses04-block2-game2_001::b0048,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,5,26,0,Short,0.6210054906504285,0.7968811548401706,0.7427972487536891,0.7115151453692388,0.7944896086196171,0.6773503683271221,0.6795551951171375,0.6962161635268531,0.726700755997796,0.6717742350387165,0.11885309219360352,3.2111477851867676,0.11506819725036621,0.0,0.0,0.2951078414916992,0.0,0.2472543716430664,0.0,0.0
sub001-ses04-block2-game2_001::b0049,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,4,26,0,Short,0.871787738767761,1.211895271339613,0.7736982195494845,0.7736982195494845,0.9701891626315231,0.4930622749352733,0.32858596261435613,0.5267035516131238,0.5267035516131238,0.3542436341095824,0.2383275032043457,0.0,3.9727656841278076,3.9727656841278076,3.3488543033599854,0.10981130599975586,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_001::b0050,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,4,26,0,Short,0.92060030419788,0.8784765042382596,1.1596000156682413,1.1596000156682413,0.9577419429728263,0.42391673692314213,0.3501460112983463,0.21628891578208154,0.21628891578208154,0.3047273731826999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_001::b0051,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,5,26,0,Short,0.9341972922304193,0.873098163479595,1.0691082721186682,0.9320019818899071,0.8434097278548306,0.4693151806884502,0.4193032718921242,0.4124545008649084,0.31063888077086643,0.4777557139833788,0.0,0.0,4.824454307556152,0.28508663177490234,5.038145542144775,0.0,0.0,0.16280698776245117,0.6587576866149902,0.20621728897094727
sub001-ses04-block2-game2_001::b0052,test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,2,3,26,0,Short,0.8633351800253052,1.0238269447661872,1.0238269447661872,1.0238269447661872,0.8728491282593167,0.5279769083504208,0.29043114709481815,0.29043114709481815,0.29043114709481815,0.39171283466424595,0.0,0.24584579467773438,0.24584579467773438,0.24584579467773438,0.0,0.0,0.7640814781188965,0.7640814781188965,0.7640814781188965,0.0
