event_id,file,subject,session,block,game,chunk,start_pos,end_pos,pre_pos,commit_pos,length_real_steps,start_global_idx,end_global_idx,commit_global_idx,commit_action,entropy_at_pre,entropy_at_onset,entropy_at_commit,margin_at_pre,margin_at_onset,margin_at_commit,q_gap_at_pre,q_gap_at_onset,q_gap_at_commit,rollout_spread_at_pre,rollout_spread_at_onset,rollout_spread_at_commit,cross2,is_long,bout_class
sub001-ses04-block4-game2_000::b0069,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1251,1252,1250,1253,2,64036,64085,64138,1,0.9300039865653904,0.8214997144875243,1.1728316619799157,0.4388868366244767,0.5554427290954252,0.2875922569545107,0.13048458099365234,0.06978750228881836,4.945069313049316,0.37735605239868164,0.14847373962402344,1.024672508239746,26,0,Short
sub001-ses04-block4-game2_000::b0070,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1256,1256,1255,1257,1,64300,64300,64350,3,1.1230148479409676,0.9653378579096029,1.0192023058918183,0.18519013466671164,0.47881762196030886,0.21368118323831126,5.02198600769043,0.0,0.13154268264770508,0.9971699714660645,0.0,0.5113945007324219,26,0,Short
sub001-ses04-block4-game2_000::b0071,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1271,1293,1270,1294,23,65048,66131,66180,2,0.5302613568971899,0.5039904051266645,0.8501214180413142,0.7667222354517471,0.8028429372932269,0.5868417885405929,0.4707071781158447,4.234965801239014,4.0196967124938965,0.24368071556091309,0.2194080352783203,0.1334667205810547,26,0,Short
sub001-ses04-block4-game2_000::b0072,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1298,1306,1297,1307,9,66380,66768,66819,3,0.5706977151521307,0.7644253703738508,0.8487261977318397,0.739001917272905,0.6255350890359288,0.5307360799407864,0.050698280334472656,0.1718597412109375,0.07356786727905273,0.563239574432373,0.729562520980835,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0073,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1365,1377,1364,1378,13,69745,70326,70372,3,1.1373676408481894,1.1291833084794376,1.066420077735778,0.4617561779858781,0.38270265357839844,0.4373984962158527,0.11846351623535156,4.096368789672852,0.0,0.4535641670227051,0.28481578826904297,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0074,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1439,1444,1438,1445,6,73440,73686,73737,2,0.9386069430652999,0.7946477911220976,0.9101403796414266,0.4311311507657349,0.6330337270453857,0.567609624102346,0.24296045303344727,0.0,0.006161928176879883,0.6046884059906006,0.0,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0075,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1467,1472,1466,1473,6,74814,75056,75105,2,1.3047703763359986,1.304518062899505,1.0907934963521837,0.0778011453561393,0.11054447486270114,0.25619694817730826,3.657201051712036,0.0,3.136434316635132,0.020141124725341797,0.0,0.6358680725097656,26,0,Short
sub001-ses04-block4-game2_000::b0076,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1513,1530,1512,1531,18,77077,77923,77969,2,1.0908721667800252,1.0824845472378608,1.0940649091821806,0.4026770213997243,0.3460217726861702,0.4680954837331691,3.014385938644409,0.0,3.1564669609069824,1.0464386940002441,0.0,0.8900327682495117,26,0,Short
sub001-ses04-block4-game2_000::b0077,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1545,1546,1544,1547,2,78683,78732,78783,1,0.7632124334886422,0.9502197183896431,0.9013793307941578,0.6118534318320016,0.39658472822872737,0.5173055578681218,2.7225778102874756,2.882115125656128,0.3908264636993408,0.0,0.3009822368621826,0.31633806228637695,26,0,Short
sub001-ses04-block4-game2_000::b0078,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1551,1556,1550,1557,6,78986,79237,79289,1,1.076031088275618,0.9984465973649436,1.0705265773631232,0.37533951186822,0.43487969650986097,0.39107887576278544,0.0,0.06515336036682129,0.011147260665893555,0.0,0.0,0.008280515670776367,26,0,Short
sub001-ses04-block4-game2_000::b0079,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1563,1568,1562,1569,6,79586,79837,79884,1,0.9055772898875522,1.1447574520921142,1.0284503017318112,0.47992878268420214,0.32510803620142115,0.4127167581287099,3.2175021171569824,0.1668543815612793,3.1005780696868896,0.22927618026733398,0.6617021560668945,0.310701847076416,26,0,Short
sub001-ses04-block4-game2_000::b0080,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1575,1580,1574,1581,6,80206,80453,80500,4,0.8721497424434338,0.9162279541848842,1.0003232524186123,0.4532593680184158,0.4619934169892234,0.5011678515497875,0.04724454879760742,3.8811917304992676,3.1477577686309814,0.763207197189331,0.8053698539733887,0.17167949676513672,26,0,Short
sub001-ses04-block4-game2_000::b0081,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1598,1605,1597,1606,8,81338,81682,81736,2,1.1623301980249026,0.9056062530383677,0.8401219585028346,0.19308144577540992,0.34256884346636984,0.616255556021033,3.481071710586548,0.09764838218688965,0.17621755599975586,0.42426133155822754,0.5748498439788818,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0082,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1615,1619,1614,1620,5,82171,82371,82418,1,1.0283079147771659,0.7855310287566661,0.8354235432435305,0.3733125120903491,0.4942219792352718,0.5753460484436672,0.0,0.0,0.0,0.0,0.0,0.0,26,0,Short
