subject,subject_label,session,block,game_id,game_name,episode_index,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference,episode_label
sub-001,S1,1,3,2,SpaceInvaders,3,220,3844,1.3863636363636365,0.6529656607700313,0.7333979755936052,ses01-block03-ep03
sub-001,S1,1,3,2,SpaceInvaders,4,170,2845,2.3823529411764706,0.5061511423550088,1.8762017988214619,ses01-block03-ep04
sub-001,S1,1,3,2,SpaceInvaders,5,15,312,0.0,0.04807692307692308,-0.04807692307692308,ses01-block03-ep05
sub-001,S1,1,6,2,SpaceInvaders,0,156,2934,0.6089743589743589,0.39195637355146556,0.21701798542289336,ses01-block06-ep00
sub-001,S1,1,6,2,SpaceInvaders,1,167,2854,2.694610778443114,0.4187105816398038,2.27590019680331,ses01-block06-ep01
sub-001,S1,1,6,2,SpaceInvaders,2,131,2752,2.3282442748091605,1.3045058139534884,1.023738460855672,ses01-block06-ep02
sub-001,S1,1,6,2,SpaceInvaders,3,293,5256,0.6484641638225256,0.5051369863013698,0.14332717752115576,ses01-block06-ep03
sub-001,S1,1,6,2,SpaceInvaders,4,60,933,1.1666666666666667,0.3429796355841372,0.8236870310825295,ses01-block06-ep04
sub-001,S1,2,2,2,SpaceInvaders,0,166,2962,0.9036144578313253,0.8423362592842674,0.06127819854705796,ses02-block02-ep00
sub-001,S1,2,2,2,SpaceInvaders,1,150,2665,0.6,0.5609756097560976,0.03902439024390236,ses02-block02-ep01
sub-001,S1,2,2,2,SpaceInvaders,2,190,2829,0.7894736842105263,0.43478260869565216,0.35469107551487417,ses02-block02-ep02
sub-001,S1,2,2,2,SpaceInvaders,3,209,2645,0.9090909090909091,0.5689981096408318,0.3400927994500773,ses02-block02-ep03
sub-001,S1,2,2,2,SpaceInvaders,4,207,2518,1.038647342995169,0.6413820492454329,0.3972652937497362,ses02-block02-ep04
sub-001,S1,2,2,2,SpaceInvaders,5,61,968,0.4098360655737705,0.5113636363636364,-0.10152757078986585,ses02-block02-ep05
sub-001,S1,2,4,2,SpaceInvaders,0,177,2629,1.5254237288135593,0.8843666793457589,0.6410570494678004,ses02-block04-ep00
sub-001,S1,2,4,2,SpaceInvaders,1,217,2986,1.1751152073732718,0.4320160750167448,0.743099132356527,ses02-block04-ep01
sub-001,S1,2,4,2,SpaceInvaders,2,177,2328,1.1016949152542372,0.5756013745704467,0.5260935406837906,ses02-block04-ep02
sub-001,S1,2,4,2,SpaceInvaders,3,173,2355,0.7514450867052023,0.7197452229299363,0.03169986377526601,ses02-block04-ep03
sub-001,S1,2,4,2,SpaceInvaders,4,199,2445,1.1306532663316582,0.7934560327198364,0.33719723361182175,ses02-block04-ep04
sub-001,S1,2,4,2,SpaceInvaders,5,169,2194,0.8579881656804734,1.1873290793072016,-0.3293409136267281,ses02-block04-ep05
sub-001,S1,2,8,2,SpaceInvaders,0,349,4700,0.9455587392550143,1.0510638297872341,-0.10550509053221979,ses02-block08-ep00
sub-001,S1,2,8,2,SpaceInvaders,1,329,4031,1.155015197568389,0.7926072934755644,0.36240790409282475,ses02-block08-ep01
sub-001,S1,2,8,2,SpaceInvaders,2,207,2695,1.497584541062802,0.8200371057513914,0.6775474353114105,ses02-block08-ep02
sub-001,S1,2,8,2,SpaceInvaders,3,165,1841,0.9090909090909091,0.8174904942965779,0.09160041479433112,ses02-block08-ep03
sub-001,S1,2,8,2,SpaceInvaders,4,102,1269,0.6862745098039216,0.6619385342789598,0.024335975524961806,ses02-block08-ep04
sub-001,S1,3,2,2,SpaceInvaders,0,542,7649,1.3653136531365313,0.7608837756569486,0.6044298774795827,ses03-block02-ep00
sub-001,S1,3,2,2,SpaceInvaders,1,498,6590,1.2951807228915662,0.8922610015174507,0.40291972137411547,ses03-block02-ep01
sub-001,S1,3,2,2,SpaceInvaders,2,34,380,0.14705882352941177,0.4342105263157895,-0.2871517027863777,ses03-block02-ep02
sub-001,S1,3,4,2,SpaceInvaders,0,202,2493,0.9158415841584159,1.095066185318893,-0.17922460116047711,ses03-block04-ep00
sub-001,S1,3,4,2,SpaceInvaders,1,319,4582,1.0344827586206897,0.8969882147533828,0.13749454386730697,ses03-block04-ep01
sub-001,S1,3,4,2,SpaceInvaders,2,523,6863,1.395793499043977,1.1103016173684976,0.28549188167547945,ses03-block04-ep02
sub-001,S1,3,8,2,SpaceInvaders,0,371,4976,1.1185983827493262,1.0339630225080385,0.0846353602412877,ses03-block08-ep00
sub-001,S1,3,8,2,SpaceInvaders,1,188,2489,0.9042553191489362,0.7191643230212937,0.18509099612764246,ses03-block08-ep01
sub-001,S1,3,8,2,SpaceInvaders,2,354,4385,1.0310734463276836,0.7023945267958951,0.3286789195317885,ses03-block08-ep02
sub-001,S1,3,8,2,SpaceInvaders,3,159,1801,2.5786163522012577,1.3242642976124375,1.2543520545888203,ses03-block08-ep03
sub-001,S1,4,2,2,SpaceInvaders,0,174,2281,0.9482758620689655,0.4712845243314336,0.47699133773753194,ses04-block02-ep00
sub-001,S1,4,2,2,SpaceInvaders,1,169,2509,1.21301775147929,0.6257473096851335,0.5872704417941564,ses04-block02-ep01
sub-001,S1,4,2,2,SpaceInvaders,2,480,6516,1.1354166666666667,0.8387047268262738,0.2967119398403929,ses04-block02-ep02
sub-001,S1,4,2,2,SpaceInvaders,3,323,3431,0.9907120743034056,0.8554357330224425,0.1352763412809631,ses04-block02-ep03
sub-001,S1,4,4,2,SpaceInvaders,0,210,2200,1.0714285714285714,0.6,0.4714285714285714,ses04-block04-ep00
sub-001,S1,4,4,2,SpaceInvaders,1,605,7257,1.28099173553719,0.8722612649855312,0.4087304705516588,ses04-block04-ep01
sub-001,S1,4,4,2,SpaceInvaders,2,323,3587,0.7430340557275542,0.8488988012266518,-0.10586474549909763,ses04-block04-ep02
sub-001,S1,4,8,2,SpaceInvaders,0,224,2876,1.3169642857142858,0.9127260083449235,0.40423827736936235,ses04-block08-ep00
sub-001,S1,4,8,2,SpaceInvaders,1,176,2163,0.7102272727272727,1.3754045307443366,-0.6651772580170638,ses04-block08-ep01
sub-001,S1,4,8,2,SpaceInvaders,2,165,2020,0.6363636363636364,0.844059405940594,-0.20769576957695768,ses04-block08-ep02
sub-001,S1,4,8,2,SpaceInvaders,3,518,6041,1.0328185328185329,0.9617612977983777,0.07105723502015515,ses04-block08-ep03
sub-001,S1,4,8,2,SpaceInvaders,4,57,554,0.6140350877192983,0.7129963898916968,-0.09896130217239851,ses04-block08-ep04
sub-002,S2,1,1,0,Enduro,0,531,5620,0.096045197740113,0.07099644128113879,0.02504875645897421,ses01-block01-ep00
sub-002,S2,1,3,0,Enduro,0,472,5653,0.11864406779661017,0.055545727932071465,0.06309833986453871,ses01-block03-ep00
