address,slot_name,is_key_slot,is_annotated_slot,trace_excluded,n_unique,value_min,value_max,value_range,pearson_r,r2,mae,normalized_mae,rounded_acc,majority_acc,acc_gain,pearson_rank,r2_rank,acc_gain_rank
26,,0,0,0,104,23.0,130.0,107.0,0.7615087983830171,0.5618777482394197,9.142356492508094,0.08544258404213172,0.03805806294218102,0.055155729039603155,-0.017097666097422137,17,18,46
27,,0,0,0,1,43.0,43.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
28,player_x,1,1,0,83,35.0,117.0,82.0,0.8944366484688944,0.7968116653840466,8.988559775791819,0.10961658263160755,0.040436691876067334,0.08849719443766772,-0.04806050256160039,5,5,53
29,,0,0,0,1,117.0,117.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
30,,0,0,0,152,1.0,180.0,179.0,0.6137825915523479,0.3387992041059733,28.76582886310499,0.16070295454248598,0.013356916321053916,0.7639668211758965,-0.7506099048548426,21,21,118
31,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
32,,0,0,0,1,36.0,36.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
33,,0,0,0,1,63.0,63.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
34,,0,0,0,1,63.0,63.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
35,,0,0,0,1,63.0,63.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
36,,0,0,0,1,63.0,63.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
37,,0,0,0,1,63.0,63.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
38,,0,0,0,1,63.0,63.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
39,,0,0,0,1,110.0,110.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
40,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
41,,0,0,0,1,23.0,23.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
42,game_state_flags,0,1,0,4,0.0,8.0,8.0,0.8603443569360706,0.7389627540766226,0.4020159520103411,0.05025199400129264,0.8202407091160445,0.9096730909978044,-0.08943238188175984,10,10,60
43,,0,0,0,12,0.0,60.0,60.0,-0.0009530438844834108,-0.5455749399489669,23.686376557618107,0.39477294262696844,0.013214605188257298,0.29277466048629747,-0.2795600552980402,77,82,79
44,,0,0,0,25,0.0,126.0,126.0,0.06962010788242338,-0.40791435793627784,44.718283949280654,0.35490701547048137,0.007318858258111734,0.27468081645929904,-0.2673619582011873,66,74,78
45,,0,0,0,20,0.0,126.0,126.0,-0.02821978791004925,-0.534020502643838,44.934951484111245,0.35662659908024796,0.006586972432300561,0.3109091648369521,-0.3043221924046515,84,81,82
46,,0,0,0,12,80.0,126.0,46.0,0.14684646272864751,-0.344357275712845,9.062839441360707,0.19701824872523274,0.03994876799219322,0.5607261933804993,-0.5207774253883061,54,71,105
47,,0,0,0,9,44.0,126.0,82.0,-0.09085463812483822,-0.5813190834817936,13.339025998276464,0.16267104875946906,0.07261933804993088,0.6862242823452874,-0.6136049442953565,88,85,112
48,,0,0,0,11,62.0,255.0,193.0,0.09157858988253322,-0.44292719779762146,62.138111721124744,0.32195912808872923,0.0674351467837684,0.30306172237131007,-0.2356265755875417,60,77,75
49,,0,0,0,9,62.0,255.0,193.0,0.1833527348756442,-0.2616010080086675,61.140627709406026,0.3167908171471815,0.06672359111978532,0.3246523542327397,-0.2579287631129544,52,69,77
50,,0,0,0,8,58.0,255.0,197.0,0.0015795877574644064,-0.48103217269841614,79.24055076128217,0.40223629828062013,0.051821582499796695,0.45340326909002193,-0.40158168659022525,74,78,92
51,,0,0,0,7,3.0,195.0,192.0,-0.060600141085232165,-0.549770674505605,65.99386619526923,0.3437180531003606,0.003761079938196308,0.45340326909002193,-0.44964218915182563,87,83,95
52,,0,0,0,7,16.0,60.0,44.0,0.13207587679633429,-0.3723392589002865,10.77819640250422,0.24495900914782318,0.03889159957713263,0.7138733024314874,-0.6749817028543548,56,72,116
53,,0,0,0,18,14.0,126.0,112.0,0.45909955528074964,0.11378229520952077,20.10129926564723,0.17947588630042172,0.018886720338293892,0.5828454094494592,-0.5639586891111653,27,27,109
54,,0,0,0,9,50.0,126.0,76.0,0.38618363501222835,0.006281126160553319,17.17377041789335,0.22597066339333358,0.023481336911441816,0.6568878588273562,-0.6334065219159144,32,34,113
55,,0,0,0,4,30.0,126.0,96.0,0.009707229277518556,-0.5049126528198136,12.687687112343372,0.13216340742024346,0.04021306009595836,0.9200211433683012,-0.8798080832723428,71,79,125
56,,0,0,0,4,62.0,126.0,64.0,-0.10360074123785575,-0.6399565466462904,16.324090850695445,0.2550639195421163,0.027974302675449297,0.853094250630235,-0.8251199479547857,89,88,123
57,,0,0,0,7,14.0,255.0,241.0,-0.04167694286333345,-0.6129149745015374,59.08912817195071,0.24518310444792826,0.21373099129869075,0.7208058876148654,-0.5070748963161746,85,87,103
58,,0,0,0,10,30.0,255.0,225.0,-0.02019084496791994,-0.5763089348464137,53.60417128698878,0.2382407612755057,0.20407416443034887,0.6896804098560625,-0.4856062454257136,83,84,98
59,,0,0,0,12,47.0,255.0,208.0,0.2709662362551142,-0.16231020188383227,49.51037102601795,0.2380306299327786,0.21881353175571278,0.7252175327315605,-0.5064040009758477,43,61,102
60,,0,0,0,9,1.0,195.0,194.0,0.22370767217561696,-0.22532026410030537,54.656394287503964,0.28173399117270087,0.007135886801658942,0.7252175327315605,-0.7180816459299015,48,66,117
61,,0,0,0,12,0.0,60.0,60.0,0.3621415307552769,-0.0758442554237806,18.1752868393548,0.30292144732258003,0.027222086687810034,0.37055785964056276,-0.34333577295275275,35,44,84
62,,0,0,0,24,0.0,126.0,126.0,0.22241762290512593,-0.27968286386572094,36.604486433502096,0.2905117970912865,0.010185411075872165,0.370151256404001,-0.3599658453281288,49,70,87
63,,0,0,0,9,28.0,126.0,98.0,0.07157863058384027,-0.4421380119372018,30.065084783121794,0.30678657941961013,0.014027811661380825,0.7779539725136212,-0.7639261608522404,65,76,120
