field,dtype,per_step_shape,feature_dim,action_id,action_label,num_real_steps,mean_value,std_value,min_value,max_value,avg_l2_norm
cur_policy,float32,"(6,)",6,1,FIRE,13267,-2.1842250802421908,2.932750259894155,-16.275480270385742,5.141806125640869,8.356715598225085
cur_policy,float32,"(6,)",6,2,RIGHT,432,-0.7163194882834634,1.3514604550715912,-7.459257125854492,3.2790567874908447,3.3864192225065644
cur_policy,float32,"(6,)",6,3,LEFT,1791,-0.9565345872093128,1.6223548574321105,-8.150193214416504,3.7629475593566895,4.102773609072003
cur_policy,float32,"(6,)",6,4,RIGHTFIRE,16109,-2.1452917921968155,2.9188323366502864,-14.878742218017578,5.589052200317383,8.227266475554615
cur_policy,float32,"(6,)",6,5,LEFTFIRE,11068,-2.703205402557257,32.900773120816154,-2654.4775390625,746.7122192382812,10.70629047484064
cur_qs_max,float32,"(6,)",6,0,NOOP,1139,0.1134240761800471,0.5805169227447822,0.0,7.864701271057129,0.578509338650099
cur_qs_max,float32,"(6,)",6,1,FIRE,13267,0.5435516087772435,1.6958448027447537,-0.023354265838861465,11.565914154052734,2.6871778823004244
cur_qs_max,float32,"(6,)",6,2,RIGHT,432,0.09602786917929296,0.5128576342528153,0.0,6.042275428771973,0.4643058566788496
cur_qs_max,float32,"(6,)",6,3,LEFT,1791,0.05521654415514792,0.46778815875430907,-0.04512733221054077,5.94439172744751,0.28287554431121326
cur_qs_max,float32,"(6,)",6,4,RIGHTFIRE,16109,0.6019762473223171,1.8540786965978655,-0.037000611424446106,13.2365083694458,3.045879413753704
cur_qs_max,float32,"(6,)",6,5,LEFTFIRE,11068,0.6351461379282456,1.8294677805096344,-0.01886216551065445,100.00001525878906,3.212933053137771
cur_qs_mean,float32,"(6,)",6,0,NOOP,1139,0.10290480015392205,0.5273621740321651,-0.03459082171320915,7.499768257141113,0.5242262264406982
cur_qs_mean,float32,"(6,)",6,1,FIRE,13267,0.5111330982557931,1.5974045273377886,-0.023354265838861465,10.978202819824219,2.524780847346201
cur_qs_mean,float32,"(6,)",6,2,RIGHT,432,0.08809194350500166,0.4680660280201289,0.0,5.54932165145874,0.4234128006625509
cur_qs_mean,float32,"(6,)",6,3,LEFT,1791,0.04684193542554056,0.4009471333610681,-0.04512733221054077,5.023805141448975,0.23839625584061908
cur_qs_mean,float32,"(6,)",6,4,RIGHTFIRE,16109,0.5590285103710335,1.7195782957474146,-0.037000611424446106,11.723525047302246,2.820062270666597
cur_qs_mean,float32,"(6,)",6,5,LEFTFIRE,11068,0.5686810476986309,1.600997100239382,-0.01886216551065445,68.6689224243164,2.8713214580374715
cur_r,float32,"(1,)",1,0,NOOP,1139,0.027795467051703774,0.10634448754814115,-0.057242501527071,1.0,0.03209370721602846
cur_r,float32,"(1,)",1,1,FIRE,13267,0.053910004679657085,0.1668959965130213,-0.17046025395393372,1.0,0.05811560857092571
cur_r,float32,"(1,)",1,2,RIGHT,432,0.022400257368914295,0.07783771382695873,-0.06579948961734772,1.0,0.029026124864011998
cur_r,float32,"(1,)",1,3,LEFT,1791,0.02017494053361466,0.060786798702128886,-0.044963788241147995,1.0,0.0229057560615436
cur_r,float32,"(1,)",1,4,RIGHTFIRE,16109,0.04724334368750568,0.15802154738114715,-0.07071800529956818,1.0,0.05003928137752746
cur_r,float32,"(1,)",1,5,LEFTFIRE,11068,0.04980292258655474,0.16332787908540294,-0.15391084551811218,1.0,0.053151847727777334
cur_reset,float32,"(1,)",1,0,NOOP,1139,0.266900790166813,0.44234009356505755,0.0,1.0,0.266900790166813
cur_reset,float32,"(1,)",1,1,FIRE,13267,0.39029170121353735,0.48781563031270353,0.0,1.0,0.39029170121353735
cur_reset,float32,"(1,)",1,2,RIGHT,432,0.18981481481481483,0.392154498752255,0.0,1.0,0.18981481481481483
cur_reset,float32,"(1,)",1,3,LEFT,1791,0.09659408151870463,0.2954042398718449,0.0,1.0,0.09659408151870463
cur_reset,float32,"(1,)",1,4,RIGHTFIRE,16109,0.4957477186665839,0.4999819177764947,0.0,1.0,0.4957477186665839
cur_reset,float32,"(1,)",1,5,LEFTFIRE,11068,0.24376581134803035,0.4293530488605698,0.0,1.0,0.24376581134803035
