iter	Passed	Remaining
242	1636782	5098948
243	1643514	5092201
244	1650220	5085374
245	1656932	5078564
246	1663648	5071769
247	1670341	5064905
248	1677055	5058107
249	1683763	5051290
250	1690487	5044523
251	1697255	5037886
252	1703964	5031073
253	1710729	5024426
254	1717494	5017778
255	1724190	5010927
256	1730928	5004202
257	1737720	4997629
258	1744397	4990728
259	1751115	4983943
260	1757871	4977266
261	1764635	4970613
262	1771348	4963816
263	1778060	4957017
264	1784747	4950148
265	1791492	4943440
266	1798220	4936687
267	1804919	4929855
268	1811636	4923071
269	1818370	4916334
270	1825151	4909724
271	1831858	4902915
272	1838604	4896209
273	1845345	4889491
274	1852059	4882703
275	1858745	4875838
276	1865443	4869009
277	1872153	4862211
278	1878879	4855455
279	1885570	4848608
280	1892346	4841982
281	1899145	4835411
282	1905907	4828747
283	1912650	4822033
284	1919383	4815294
285	1926054	4808402
286	1932765	4801609
287	1939502	4794882
288	1946230	4788131
289	1952905	4781252
290	1959586	4774386
291	1966302	4767609
292	1972999	4760786
293	1979669	4753899
294	1986372	4747094
295	1993132	4740424
296	1999826	4733595
297	2006562	4726868
298	2013355	4720273
299	2020086	4713535
300	2026768	4706681
301	2033476	4699888
302	2040147	4693011
303	2046867	4686248
304	2053586	4679483
305	2060257	4672610
306	2066895	4665662
307	2073585	4658835
308	2080316	4652098
309	2087022	4645307
310	2093719	4638497
311	2100443	4631746
312	2107103	4624857
313	2113815	4618080
314	2120533	4611319
315	2127222	4604494
316	2133975	4597808
317	2140678	4591015
318	2147357	4584170
319	2154036	4577328
320	2160739	4570535
321	2167509	4563885
322	2174244	4557161
323	2180906	4550285
324	2187607	4543491
325	2194294	4536671
326	2200983	4529853
327	2207747	4523190
328	2214514	4516531
329	2221306	4509925
330	2227991	4503099
331	2234645	4496213
332	2241362	4489454
