target,model,term,feature,label,coef,se,z,p,sig,n,event_rate
thinker,duration_only,z_bout_age,bout_age,Bout age,-0.8311156548897034,0.03357471486075304,-24.754213351823015,2.79277529555025e-135,***,17596,0.39690838827006136
thinker,uncertainty_only,z_entropy_actor,entropy_actor,Actor entropy,0.3398112671584131,0.03871439590178429,8.777387822878353,1.673152539948491e-18,***,17596,0.39690838827006136
thinker,uncertainty_only,z_neg_q_gap,neg_q_gap,Low Q gap,0.00697492760519109,0.02208618677259584,0.3158049724475508,0.7521505436613709,ns,17596,0.39690838827006136
thinker,uncertainty_only,z_rollout_spread,rollout_spread,Rollout spread,0.21613737236546085,0.017959771064099208,12.034528257295548,2.339675669255213e-33,***,17596,0.39690838827006136
thinker,uncertainty_only,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,-0.09709817033766766,0.016849184352618795,-5.762781646019328,8.273881001865063e-09,***,17596,0.39690838827006136
thinker,duration_plus_uncertainty,z_bout_age,bout_age,Bout age,-0.7249125783978437,0.04678475637664503,-15.49463189595063,3.771144477419441e-54,***,17596,0.39690838827006136
thinker,duration_plus_uncertainty,z_entropy_actor,entropy_actor,Actor entropy,0.16492081737138098,0.034762296639301506,4.744244003283864,2.092864593641592e-06,***,17596,0.39690838827006136
thinker,duration_plus_uncertainty,z_neg_q_gap,neg_q_gap,Low Q gap,0.019771558293860285,0.021480991975378942,0.9204211014333987,0.35735274578410037,ns,17596,0.39690838827006136
thinker,duration_plus_uncertainty,z_rollout_spread,rollout_spread,Rollout spread,0.19043410958701576,0.018253517016300118,10.432735204780588,1.7575485713057022e-25,***,17596,0.39690838827006136
thinker,duration_plus_uncertainty,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,-0.09053370705739697,0.01674732414358599,-5.405861036735843,6.449778927819083e-08,***,17596,0.39690838827006136
thinker,entropy_duration_interaction,z_bout_age,bout_age,Bout age,-0.654450046923432,0.04077563866272989,-16.050025662053415,5.714042549076177e-58,***,17596,0.39690838827006136
thinker,entropy_duration_interaction,z_entropy_actor,entropy_actor,Actor entropy,0.18256521343649737,0.029107053003150377,6.272198474257685,3.5598539004908585e-10,***,17596,0.39690838827006136
thinker,entropy_duration_interaction,z_neg_q_gap,neg_q_gap,Low Q gap,0.021250203282367337,0.02135357410269047,0.9951590857892914,0.3196588973294867,ns,17596,0.39690838827006136
thinker,entropy_duration_interaction,z_rollout_spread,rollout_spread,Rollout spread,0.18928946533137594,0.018568777354547074,10.193964940024618,2.1097987200211826e-24,***,17596,0.39690838827006136
thinker,entropy_duration_interaction,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,-0.09045431659597486,0.016614910129517678,-5.444165264263196,5.2048880337660175e-08,***,17596,0.39690838827006136
thinker,entropy_duration_interaction,z_entropy_actor:z_bout_age,entropy_actor:bout_age,entropy_actor:bout_age,0.0968214643463263,0.05361860083800262,1.8057439551407186,0.07095834336975924,ns,17596,0.39690838827006136
