target,feature,label,bin,bin_feature_mean,bin_feature_min,bin_feature_max,mean_noop_rate,sem_noop_rate,n_files,n_steps
thinker,search_jsd_actor_root,Actor-root JSD,4,0.2754332765988943,0.13971605277385718,0.6779270573377043,0.37758312499117974,0.007419203057861717,8,9838
thinker,rollout_spread,Rollout spread,0,0.018309856696502817,0.0,0.15183746814727783,0.4030072331223379,0.014507782480793133,8,29513
thinker,rollout_spread,Rollout spread,1,0.2874374025736769,0.15185809135437012,0.44911980628967285,0.3190023208236684,0.009134062138901276,8,9837
thinker,rollout_spread,Rollout spread,2,0.7884133716378362,0.44915175437927246,5.673360228538513,0.261654617805114,0.007358413894992189,8,9838
thinker,neg_actor_policy_gap,Low actor margin,0,-0.846070733082576,-0.9826077440043549,-0.7653440106305198,0.25639277825991136,0.031991983082314344,8,9838
thinker,neg_actor_policy_gap,Low actor margin,1,-0.680309645580818,-0.7653428337909035,-0.5932954904367082,0.35385593880936583,0.018326979266170884,8,9837
thinker,neg_actor_policy_gap,Low actor margin,2,-0.533018215743307,-0.5932243486083177,-0.4822498865194854,0.367422220342114,0.017578677791861154,8,9838
thinker,neg_actor_policy_gap,Low actor margin,3,-0.4323486724723954,-0.4822406875913949,-0.37391116876408736,0.3738535295600809,0.010302362553964928,8,9837
thinker,neg_actor_policy_gap,Low actor margin,4,-0.242695407046059,-0.37386474117041496,-8.78140110150416e-05,0.43462438150792576,0.011935497332404689,8,9838
thinker,branch_entropy,Branch entropy,0,0.07503182882762417,-1.000088900581841e-12,0.6365141682928128,0.35690340634733475,0.011782974167006043,8,21445
thinker,branch_entropy,Branch entropy,1,0.6930944305350126,0.6730116645904961,0.6931471805579453,0.3167863028352852,0.01223278184693951,8,9737
thinker,branch_entropy,Branch entropy,2,1.5908276146449503,0.8675632284784613,1.791759469222055,0.3847347181724905,0.012434737892534404,8,18006
thinker,tree_width,Tree width,0,0.6026479502312968,0.0,1.0,0.3988767277117924,0.011399963530154818,8,31345
thinker,tree_width,Tree width,1,2.0,2.0,2.0,0.3057875142008042,0.01247218422509845,8,12292
thinker,tree_width,Tree width,2,3.2262655377409475,3.0,6.0,0.2505142841196196,0.016427208450981487,8,5551
