target,feature,label,lag_order,lr_stat,lr_df,lr_p,lr_sig,delta_aic_ar_minus_full,delta_bic_ar_minus_full,lag1_coef,lag1_p,n,event_rate,error
human,rollout_spread,Rollout spread,3,37.31729316311248,3,3.942306570233466e-08,***,31.31729316311248,4.908542381108418,-0.05449788658321512,3.0626671960275295e-25,49164,0.38961435196485233,
human,rollout_spread,Rollout spread,4,42.82848630781518,4,1.1231465904493926e-08,***,34.82848630781518,-0.3825304658021196,-0.05134493174901824,2.8512234706930104e-23,49156,0.3895557002197087,
human,rollout_spread,Rollout spread,5,38.23453400915241,5,3.3852424021760416e-07,***,28.234534009152412,-15.778423155785276,-0.04415632822976696,3.684535494407538e-18,49148,0.38949702938064623,
thinker,entropy_actor,Actor entropy,1,235.05889634521736,1,4.70037561035956e-53,***,233.05889634521736,224.2556540294463,0.16001848398064686,1.1242688266344954e-07,49180,0.3602277348515657,
thinker,entropy_actor,Actor entropy,2,195.51746257457853,2,3.498826797030915e-43,***,191.51746257457853,173.91130330500164,0.19059846016957133,2.5012393737579015e-15,49172,0.36014398438135525,
thinker,entropy_actor,Actor entropy,3,229.4805286572664,3,1.7911403840991725e-49,***,223.4805286572664,197.0717778752587,0.24266264086085612,1.4288776226082678e-37,49164,0.3600805467415182,
thinker,entropy_actor,Actor entropy,4,267.7002715529161,4,9.987942152074052e-57,***,259.7002715529161,224.4892547792988,0.2637477770756753,8.311923471751827e-44,49156,0.3600170884530881,
thinker,entropy_actor,Actor entropy,5,293.9045324305189,5,2.046422658307586e-61,***,283.9045324305189,239.8915752655812,0.27808360752051214,6.828971303538055e-45,49148,0.3599739562138846,
thinker,neg_q_gap,Low Q gap,1,7.818838522602164,1,0.005170441345942747,**,5.818838522602164,-2.9844037931688945,0.028604662881049788,0.08110909013992265,49180,0.3602277348515657,
thinker,neg_q_gap,Low Q gap,2,22.332995706274232,2,1.4140071327412359e-05,***,18.332995706274232,0.7268364366973401,0.01353501450719374,0.3032278840177417,49172,0.36014398438135525,
thinker,neg_q_gap,Low Q gap,3,27.51820347791363,3,4.584036088736137e-06,***,21.51820347791363,-4.890547304094071,0.005791874733043593,0.6475007140103782,49164,0.3600805467415182,
thinker,neg_q_gap,Low Q gap,4,25.223941147552978,4,4.5353601045319354e-05,***,17.223941147552978,-17.987075626064325,0.00047102631248009365,0.9703287764244081,49156,0.3600170884530881,
thinker,neg_q_gap,Low Q gap,5,40.75746246478957,5,1.0503092638847712e-07,***,30.75746246478957,-13.25549470014812,-0.004552842055391325,0.717669431717423,49148,0.3599739562138846,
thinker,search_jsd_actor_root,Actor-root JSD,1,50.502468546626915,1,1.190149991325584e-12,***,48.502468546626915,39.69922623085586,0.07199718067076173,1.9133926642340915e-11,49180,0.3602277348515657,
thinker,search_jsd_actor_root,Actor-root JSD,2,60.882619274903846,2,6.018762446188516e-14,***,56.882619274903846,39.27646000532695,0.05956472543706893,3.6659139752467937e-09,49172,0.36014398438135525,
thinker,search_jsd_actor_root,Actor-root JSD,3,62.44610992149683,3,1.763953554641453e-13,***,56.44610992149683,30.037359139489126,0.06337555543473329,3.278930772397359e-12,49164,0.3600805467415182,
thinker,search_jsd_actor_root,Actor-root JSD,4,84.07576848958706,4,2.3824826943525738e-17,***,76.07576848958706,40.86475171596976,0.07379833354700306,4.181344777840845e-16,49156,0.3600170884530881,
thinker,search_jsd_actor_root,Actor-root JSD,5,94.18663746447419,5,8.855078091458397e-19,***,84.18663746447419,40.1736802995365,0.07914910759975058,5.019443892759424e-15,49148,0.3599739562138846,
thinker,rollout_spread,Rollout spread,1,327.47769209194666,1,3.405302400742888e-73,***,325.47769209194666,316.6744497761756,-0.19995351933752387,3.245443445253083e-42,49180,0.3602277348515657,
thinker,rollout_spread,Rollout spread,2,296.6406445800312,2,3.848597339821757e-65,***,292.6406445800312,275.03448531045433,-0.15839750223809546,2.927526086729179e-40,49172,0.36014398438135525,
thinker,rollout_spread,Rollout spread,3,257.07043160748435,3,1.934242052572258e-55,***,251.07043160748435,224.66168082547665,-0.14485085956133475,1.1118638832849864e-26,49164,0.3600805467415182,
thinker,rollout_spread,Rollout spread,4,239.77130238832615,4,1.0391972320786336e-50,***,231.77130238832615,196.56028561470885,-0.14189404602971323,1.1599873848456274e-27,49156,0.3600170884530881,
thinker,rollout_spread,Rollout spread,5,228.52096606740815,5,2.2192150855099574e-47,***,218.52096606740815,174.50800890247046,-0.14100919188274857,8.765940696805032e-27,49148,0.3599739562138846,
