target,model,term,feature,label,coef,se,z,p,sig,feature_mean,feature_sd,n,event_rate
thinker,actor_entropy,z_entropy_actor,entropy_actor,Actor entropy,0.30544961093997575,0.04801644038108354,6.36135474674441,1.9998197106580808e-10,***,0.842722007547781,0.2818353873357483,49188,0.3603317882410344
thinker,q_conflict,z_neg_q_gap,neg_q_gap,Low Q gap,0.04020640292942802,0.01688754689660937,2.3808314597486353,0.01727361306347507,*,-1.1682348250794792,1.5710126611453494,49188,0.3603317882410344
thinker,search_disagreement,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,0.09724028098475716,0.014684263641931473,6.622074034892962,3.5419356772831313e-11,***,0.10284623299246567,0.10925537151855132,49188,0.3603317882410344
thinker,rollout_spread,z_rollout_spread,rollout_spread,Rollout spread,-0.2539238401722748,0.022585103268503822,-11.24297892967289,2.5077463288010774e-29,***,0.2261590485479015,0.3456031269212387,49188,0.3603317882410344
thinker,actor_margin,z_neg_actor_policy_gap,neg_actor_policy_gap,Low actor margin,0.18947243090644517,0.05054373859142241,3.7486825507324033,0.00017776592272784384,***,-0.5468881509261938,0.2146312385108833,49188,0.3603317882410344
thinker,branch_structure,z_branch_entropy,branch_entropy,Branch entropy,0.02692648032014237,0.01441565096846566,1.8678643357170785,0.06178098311859647,ns,0.7522599021839635,0.7151346056899736,49188,0.3603317882410344
thinker,branch_structure,z_tree_width,tree_width,Tree width,-0.2770354587436214,0.014726185891811613,-18.81243797809621,5.972678585511992e-79,***,1.247926323493535,1.0133244450512215,49188,0.3603317882410344
thinker,full_uncertainty,z_entropy_actor,entropy_actor,Actor entropy,0.7381063223505286,0.06259306984849124,11.792141272782137,4.2850572590294395e-32,***,0.842722007547781,0.2818353873357483,49188,0.3603317882410344
thinker,full_uncertainty,z_neg_q_gap,neg_q_gap,Low Q gap,0.0024349827573981178,0.033504181837277935,0.0726769801221909,0.9420631672973501,ns,-1.1682348250794792,1.5710126611453494,49188,0.3603317882410344
thinker,full_uncertainty,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,-0.033490130284304497,0.006751397128044137,-4.960474054354214,7.032135392738049e-07,***,0.10284623299246567,0.10925537151855132,49188,0.3603317882410344
thinker,full_uncertainty,z_rollout_spread,rollout_spread,Rollout spread,-0.16344959206203058,0.030975919770337958,-5.276666303176162,1.3155512660129598e-07,***,0.2261590485479015,0.3456031269212387,49188,0.3603317882410344
thinker,full_uncertainty,z_neg_actor_policy_gap,neg_actor_policy_gap,Low actor margin,-0.4857175214734594,0.1033235790093913,-4.700935896048582,2.589718105625259e-06,***,-0.5468881509261938,0.2146312385108833,49188,0.3603317882410344
thinker,full_uncertainty,z_branch_entropy,branch_entropy,Branch entropy,-0.009532255705156298,0.03368520263820783,-0.282980506530907,0.7771917800543175,ns,0.7522599021839635,0.7151346056899736,49188,0.3603317882410344
thinker,full_uncertainty,z_tree_width,tree_width,Tree width,-0.18669753880915946,0.018108199937299913,-10.310110306690023,6.342847789630608e-25,***,1.247926323493535,1.0133244450512215,49188,0.3603317882410344
